"","Species","427","478","546","608","659","724","831","908"
"1","PH",1.7247094764675,2.63322824767509,8.19432172778073,4.89088622460302,3.04291274025982,30.0563636552132,52.3395083755003,51.2280971881714
"2","PH",1.48690116630637,2.26586042814625,8.00713801559923,4.69296284219613,2.72906291741001,29.8958251076778,52.7437262781574,51.4887986788728
"3","PH",1.66112932716164,2.27117757790275,7.35136824764108,4.79468638173918,2.9361389597136,28.5211426697999,48.4502890622994,47.5353993345001
"4","PH",1.84494066984888,2.37074387794378,6.94082022199151,4.67926923780786,3.0095897043592,30.3688658076594,52.4803061777071,51.7938376456126
"5","PH",1.7443714567225,2.29857444862704,6.83849583040522,4.56947367893461,2.92888086365032,30.0613619952883,51.9211923747568,51.0253705301347
"6","PH",1.76810664603206,2.29941598648466,7.22679213388354,4.81453495400155,2.99416987401324,31.2960509239369,54.0003302145216,53.1532729989499
"7","PH",1.71011706874625,2.27598894185321,6.99527769033678,4.68508401037904,2.97298385964022,29.6569611360873,50.4860295568863,49.7544252575028
"8","PH",1.70595981405658,2.32083804464784,7.29670102879443,4.84429745498352,3.01678759873937,32.365835903545,56.5663891392146,55.6219742851854
"9","PH",2.28580716360672,2.86855719783693,7.52832450242405,5.2271381866711,3.53569418685832,29.7774964609185,47.4450778904444,47.2159842748481
"10","PH",2.29389794994131,2.86046124460412,7.41927152255046,5.20437920216644,3.53988159525141,29.06601084929,46.1332364408746,46.0071036477795
"11","PH",2.39757174569427,3.00623445318274,7.62966083329442,5.48417651155268,3.83198775245546,28.1152619606328,43.687942919617,43.6428730783392
"12","PH",2.31927694822794,2.86363923171028,7.22886848602977,5.09125071399829,3.53647699019402,28.3235366508671,45.1113223125862,44.9744377114598
"13","PH",2.38505683747503,2.98349549090361,7.86251482663218,5.56887631856265,3.79335709571694,29.416389482329,45.8453874867509,45.6536843287841
"14","PH",2.36332189998756,3.02231071071579,7.79789656503785,5.62184878790804,3.818516227707,28.8799119245637,45.0795178750855,45.0589888909397
"15","PH",2.40190687113556,3.08038904140727,7.6550687965995,5.62657983365683,3.96234263137009,27.5271333422912,42.5844412755196,42.6185982177275
"16","PH",2.29707337158054,2.93880788817398,7.40164470233594,5.37704874750734,3.78708631306351,27.9907644276028,44.7504312228585,44.6018213876793
"17","PH",2.09818984778993,2.67729955119232,7.31357383597166,5.0937135859644,3.37686299162195,30.6392311718044,51.4920094353339,51.010611022361
"18","PH",2.23918039979662,2.8952569590338,7.96098529094967,5.67819157980882,3.74497222266125,30.5998352341428,49.213314204115,48.816615902083
"19","PH",2.10930385884062,2.75680212697019,7.42094888142604,5.27931653384568,3.5514559548022,29.160377912259,46.9275463759566,46.560772125976
"20","PH",2.20572640116603,2.96847395212101,8.56270759200483,5.97473439859322,3.82979305901575,32.8398669783817,52.8785784988498,52.432980147456
"21","PH",2.15267818054428,2.97769422176229,8.96895465885492,6.29174183221932,3.95427715933165,33.4144478645643,53.0338826241332,52.7822472142527
"22","PH",2.14367187858195,2.95733060911471,8.54522659558956,5.92249885041587,3.77870516985732,32.6942671657295,53.4054619121635,52.4297932401494
"23","PH",2.31341384853782,3.20818285357344,9.46807765986719,6.55941111695287,4.15362267007626,36.5858253376742,59.4084249315335,58.5612990201143
"24","PH",1.96972307974647,2.73803496423364,8.61671110537668,5.81251729027208,3.56970457620613,35.6205116304919,59.583229609829,58.4032362047485
"25","PH",1.89143055475347,2.71999796649822,8.97296806212241,6.04255590416667,3.64006230658105,37.3348929697415,63.166035670523,61.8125505596115
"26","PH",1.98485109527778,2.84554800884348,8.62440853152132,5.92322969659633,3.72210552645683,35.4838383537336,60.0123917815801,58.716751785721
"27","PH",1.69142871138508,2.28797742177105,7.65409500332308,5.16510463448314,3.08404900939656,30.9517080204201,51.2991799322278,50.3370504392724
"28","PH",1.81696858785053,2.40450142275216,7.62099402791773,5.11360036762149,3.11864202283129,32.76268897116,56.1313681000433,55.1418665506731
"29","PH",1.92032000165145,2.60597747354922,8.35188043638693,5.7595741509783,3.4985321687174,32.2736337747401,52.9054746948103,52.1672972578568
"30","PH",1.79889236658381,2.34406015969781,6.88127883307756,4.60383349598286,2.92956478477855,31.3420138299288,56.8348734340475,55.3844464090002
"31","PH",1.91398105944743,2.54893857270498,7.11734684294396,4.83518326725358,3.17542309829513,31.4972642276057,56.2682125286644,54.8968847091341
"32","PH",2.27101380026826,2.93123172409926,7.23305791849311,5.19424810783594,3.6897378401456,28.905084888346,49.533129343658,48.8362769848442
"33","PH",2.73384272577505,3.32975952545996,6.95776523070934,5.41205394482641,4.28823297058093,23.6397389295606,36.7034571086837,37.1015092512102
"34","PH",2.69707656137045,3.26761107638482,6.86254955556728,5.31180204849722,4.1920847123873,23.4013342359576,36.3334698792818,36.7579004838909
"35","PH",2.45935952202279,3.09492474070144,8.1092388492313,5.84782283002318,4.05160319244773,29.9617849252037,48.1577388665243,48.1508411634125
"36","PH",2.31869053778508,3.05692518829556,9.32234914905636,6.62967768382313,4.23028717309657,32.3474130416382,50.5813626560372,50.4957450189002
"37","PH",2.30369721650525,3.04761032977989,9.36953892864298,6.69293334485216,4.27502012186327,32.2421671571151,50.1170330310254,50.0819382871938
"38","PH",2.28209237057779,2.95623157840531,8.82516965019873,6.28247247209,4.0492120855856,31.8412572785596,50.5650858780628,50.4129520027462
"39","PH",2.00335958927994,2.53634245487325,7.3744908161657,5.00083571789912,3.1860149775533,32.5708188853284,55.5246019598246,55.0393445089391
"40","PH",1.91762857700382,2.45710322426787,7.42329518551234,5.03960276161001,3.1461144486707,32.2403493656042,54.646879363268,54.1513563995285
"41","PH",2.02484539359353,2.60610538794971,8.08631507204505,5.5300104243701,3.42065132476821,33.4505124360806,55.0430389935047,54.4410614519977
"42","PH",2.15022880288914,2.83624040829302,8.88902664252862,6.08699681163879,3.77221434854035,37.7986075331747,62.5996383583069,61.4636584260613
"43","PH",2.05128070226319,2.74039254997842,9.17659275727539,6.29976598400508,3.7793020863293,37.9757989178063,61.9971517507838,61.0308146919893
"44","PH",1.81012408132321,2.39388230131073,7.87020456832828,5.34990545125326,3.25309515337715,33.4275837901481,55.1025412986237,54.4211121837081
"45","PH",1.87996329180277,2.41543716797816,7.71537301342107,5.1905208728657,3.18307307153329,33.6213482802301,56.1727533299697,55.2323125511651
"46","PH",1.82699524960205,2.37552965948441,7.83647165610595,5.2868118764009,3.20432119508254,33.5242600607674,55.5814333919847,54.724399226004
"47","PH",1.89490362877562,2.37016981819232,7.33550261040063,4.8490247050253,3.0188769593402,34.6098862591142,60.8383743771646,59.4699652399318
"48","PH",1.66904671401035,2.07859705435616,6.18340292512635,4.00288479622024,2.51961992011922,32.60955813114,63.1587855987477,61.0684864881105
"49","PH",1.7672530814869,2.1925660897449,6.3772798750813,4.16107204318852,2.66664866544262,33.466271350553,64.0395261949043,62.0581735975377
"50","PH",1.71535393972042,2.11493020758046,6.27255684238064,4.07847341146929,2.58940969396863,33.3976818369102,64.2808806235903,62.294391202992
"51","PH",1.74862698371755,2.17780245793837,6.39793094469914,4.18428486457363,2.67937262494349,33.9589261666146,65.2597454104762,63.3683499508563
"52","PH",1.71561850406581,2.3281829497946,7.3292017266169,4.85500546140117,3.01673125599368,35.2546085141894,67.4207129092824,66.1141423418144
"53","PH",1.66531238253019,2.22548879937974,6.75129851084779,4.45207594818948,2.78993404559522,31.9759295355091,60.6995286928715,59.1591077913435
"54","PH",2.35944242085041,3.02776099090696,7.89842170576075,5.60145282295514,3.91991064932081,32.688862515297,58.4689514234343,57.6408469370436
"55","PH",3.07764249546331,3.80296360005335,10.095564565486,7.22361505044277,4.91999518567789,37.8909326095253,61.9039837260892,62.7162779418959
"56","PH",2.78091366453323,3.39084101378897,8.56632058004689,6.22706476969448,4.37599183453958,31.3079030875782,51.6761264839113,52.5083966187971
"57","PH",2.89650844638314,3.49827665894889,8.2237537385743,6.1739861136231,4.56708446076397,29.2627112461121,48.5536726688841,49.814371739216
"58","PH",2.8133553385048,3.3951708845329,8.77245783622461,6.211620532114,4.35033412357085,34.9320060257419,59.0451736580326,59.4307044593491
"59","PH",2.60721993762273,3.17734332264373,9.14860302641271,6.08956594166627,3.92379340953692,38.7928636516244,66.1303925436991,65.8346592280554
"60","PH",2.44170010833366,3.05873909592222,8.89229744800318,6.06682113128747,3.95092870697919,36.6990099789961,62.2892934480152,62.745806257429
"61","PH",2.41540519484381,3.19262784773395,9.7967581014641,6.79657379123354,4.27254547705313,38.5680368730764,64.2450592821053,64.9293616829876
"62","PH",2.51800175334513,3.3102035031046,10.5582464409219,7.32826436111585,4.50317444762168,40.9211887618353,67.3864468795837,68.0313000140969
"63","PH",2.48206552769475,3.22203197382242,8.28970996154774,5.99561543616442,4.24274142718056,33.9706926511204,58.4988845844358,59.1013663976434
"64","PH",2.31213354602123,3.12175462003802,8.44806698050239,6.26728187413093,4.34044236960633,31.135861137828,50.9275960164471,51.6379180314646
"65","PH",2.57558332773428,3.42970064890089,8.46202590269887,6.47294334845467,4.73854634915477,30.126218561964,49.1477572856589,50.0561070087679
"66","AT",2.31518650974828,2.81844297784785,5.0989971813926,4.58430100271946,4.08563665867223,17.8391003131322,31.9301681489145,33.2160168478779
"67","AT",2.81959972466986,3.46184518869616,5.87727685398885,5.65364988435346,5.30363565843456,18.5065936178183,31.6514076767641,32.8592648744132
"68","AT",2.51168968069035,3.0846863835649,5.34135232876841,4.79238764676525,4.27735234901482,19.4322265291417,35.0714754867764,35.862905805467
"69","AT",2.34180604409664,2.87416858864958,4.84667912343762,4.02489171778631,3.47709268042572,19.0813537620217,35.8404320568414,36.7180980697935
"70","AT",2.26357864417335,2.73704148513525,4.3900492608255,3.81895762808984,3.42445906705486,15.9503333965715,29.7130394311683,30.7013812456941
"71","AT",2.64839702299863,3.47738563607406,6.31288463982833,5.4638966656849,4.45794403224165,19.0147332983763,33.7512793622587,34.6502138754818
"72","AT",2.16083324336168,2.87388225096849,5.52411619070256,4.74248524303871,3.79035184372588,17.8310393683189,32.5663425552026,33.0777177488168
"73","AT",2.4010104850637,3.0500921540959,5.30798112421852,4.61100498995077,3.84238293184068,15.2632276416293,26.6426496304479,27.4178502620924
"74","AT",3.47402441115346,4.15817275594381,6.42164041902868,5.9197631159253,5.3485121883836,17.1612257636286,28.2712433647736,29.1268313092054
"75","AT",3.47075436601032,4.22601826199838,6.7308191007972,6.07130459824385,5.35374801350679,17.9967760571523,29.2720174532961,29.9914252421151
"76","AT",2.75153533291526,3.22606539049948,5.78042190644208,5.14300226533733,4.47031281796696,20.5482741421635,37.0863384441345,38.4457050659273
"77","AT",2.75785342336908,3.27362612325744,6.29783195449539,5.39486782447797,4.33969883172285,22.9811306546125,40.9462437729088,41.8639973625894
"78","AT",2.38074791906574,2.77084717633002,4.46276521872636,4.01445925808274,3.66860377614586,17.0626681256968,34.6451112103029,35.9761112225063
"79","AT",2.36185563992784,2.7441146422988,4.2606548108472,3.98966285449889,3.85333129211236,15.7973463866585,31.8699529783249,33.2627295027629
"80","AT",2.53462814237706,2.96088590154827,5.00178758016619,4.39011128476104,4.02262919157805,19.494929650852,38.13877109128,39.5375179625523
"81","AT",2.52444406983651,3.1212330768562,6.57565752475883,5.50370895739708,4.42493159025372,24.6200846115722,45.6341285064544,47.1846183345674
"82","AT",2.57447008140495,3.2177685139305,6.45957462093791,5.66336298653368,4.75137288931649,22.4764237343557,41.7311457770555,43.5054036104746
"83","AT",2.47070714496508,3.0453396377534,6.25315519282396,5.39640773584038,4.44579932356681,23.6529913273747,44.4487011754392,46.1620287214543
"84","AT",3.10488625522682,3.93086524750148,6.80713699337408,5.97905243194843,4.93570214627773,20.3720240389965,36.1240843702356,36.6931729607926
"85","AT",3.56253038361865,4.6900204003581,8.50093615445788,7.30607754880403,5.85227028885242,25.170850898498,43.5569178984039,44.0841170189529
"86","AT",3.44080592254829,4.41620428192468,7.69674651865715,6.59312207348108,5.40423093726797,22.7518891431332,40.0740159583102,41.1265955139604
"87","AT",3.39619532976089,4.52266832535444,8.1900591164706,7.25746438308965,5.94267409975778,21.5412511689815,34.9625109783144,35.9718868542688
"88","AT",2.800474813609,3.69786868408445,6.86761498355256,6.02593063722238,4.91741719219913,20.0277258864061,34.2132560636538,35.5146825073756
"89","AT",3.93196513115004,4.78843568745507,7.7912556947814,7.22224540786083,6.49397294833702,19.1914462387352,30.7735117994352,32.8446838971028
"90","AT",3.76344408963333,4.58964260073366,7.51075264825883,6.43225601974593,5.39460333876566,22.2669053542648,40.4858431038844,41.773084089504
"91","AT",2.33047370255712,3.0043283662206,5.4374845633825,4.80042348696034,4.1105606437841,16.3497105970948,28.69591554971,30.2042333408404
"92","AT",2.06877369512685,2.59985740397801,4.75323506587213,3.89877720554664,3.16324924694673,16.0400403765364,29.499819097483,31.0467344749993
"93","AT",2.78658303890024,3.50808621511018,6.85605945324139,5.60667409781708,4.27638793387427,21.783372530296,37.9312363115964,39.2069886346969
"94","AT",2.31949714701664,2.92638286911142,6.17401388357693,4.93665208616013,3.63059620649185,20.6518713318407,36.3696043717325,37.4985188095215
"95","AT",2.54547072545522,3.24120561408012,6.82118381112441,5.37537381396767,3.86264456298546,22.8266727579153,40.3420649133148,41.3736276587724
"96","AT",2.36807645147233,3.00203362908303,6.45942466321175,5.23125212162899,3.86717576700495,21.477538857816,36.903874642674,38.0946701252076
"97","AT",2.17273757185446,2.76462620666312,6.0849613786586,5.0859501585552,3.94384153082544,20.3902025198593,33.1829789369325,34.2633898063262
"98","AT",2.07488364337206,2.67340964972258,6.27976541440547,5.13223493575193,3.84647043538833,21.5621104857456,35.2683677589837,36.2120428381834
"99","GS",2.75375602308644,3.34165125385737,6.22894810756374,5.21419938264677,4.30920928365394,18.829013793847,35.5483088017678,36.0959881155913
"100","GS",2.23856761168204,2.70120788935,4.83647223975591,4.13692567996706,3.52819107508701,14.0599301322275,26.0562140801442,26.4880784553456
